Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
74,20,76,0,2,1,0,1,12,0,0,161,0,0,6,16,3.45978808403015
12,8,1,0,3,72,0,36,18,0,2,164,0,0,5,9,3.46958041191101
140,20,99,0,9,1,0,0,4,0,3,166,0,0,8,11,3.47952032089233
3,4,4,0,1,35,0,23,1,1,3,156,0,0,10,8,3.48925447463989
54,17,1,0,2,4,0,0,2,2,0,160,0,0,5,15,3.49905586242676
2,56,3,0,2,1,0,0,1,1,2,166,0,0,5,10,3.50880312919617
26,5,1,0,3,5,0,0,1,0,0,165,0,0,8,8,3.51904916763306
2,0,0,0,7,0,0,0,6,0,0,154,0,0,4,10,3.52832388877869
0,1,0,0,52,0,2,0,192,0,0,163,2,0,5,8,3.5381064414978
0,10,0,0,0,60,0,5,4,1,0,162,0,0,85,9,3.54791641235352
105,1,9,10,0,11,0,0,21,0,0,162,3,0,8,11,3.55812001228333
57,0,5,3,0,0,0,0,16,0,0,164,0,0,5,15,3.56746172904968
0,5,0,0,0,0,0,0,16,0,1,163,0,4,6,8,3.57719421386719
75,0,0,2,0,0,0,0,20,0,2,163,0,0,6,12,3.58702945709229
50,6,0,89,0,0,0,0,12,0,4,171,0,0,7,8,3.59697103500366
4,0,0,0,0,0,1,0,31,0,0,171,0,11,29,10,3.60744118690491
0,0,1,0,0,0,0,0,34,0,0,169,0,4,64,14,3.61700916290283
