Time,Phase_Change_Indices
1738245274.0834832,0.0
1738245274.0985255,0.0
1738245274.1137607,0.0
1738245274.133866,0.0
1738245274.1482985,0.0
1738245274.1643498,0.0
1738245274.1842294,0.0
1738245274.1987092,0.0
1738245274.2142568,0.0
1738245274.2341511,0.0
1738245274.2485332,0.0
1738245274.263925,0.0
1738245274.2841382,0.0
1738245274.298176,0.0
1738245274.3146162,0.0
1738245274.3342254,0.0
1738245274.3486538,0.0
1738245274.3636549,0.0
1738245274.3841274,0.0
1738245274.398585,0.0
1738245274.4137757,0.0
1738245274.4336658,0.0
1738245274.4484937,0.0
1738245274.4640462,0.0
1738245274.484138,0.0
1738245274.4980285,0.0
1738245274.5136063,0.0
1738245274.533462,0.0
1738245274.548379,0.0
1738245274.5642507,0.0
1738245274.58352,0.0
1738245274.5993872,0.0
1738245274.6152062,0.0
1738245274.6345658,0.0
1738245274.649437,0.0
1738245274.6653366,0.0
1738245274.684323,0.0
1738245274.6991918,0.0
1738245274.7142,0.0
1738245274.734712,0.0
1738245274.749315,0.0
1738245274.764394,0.0
1738245274.78417,0.0
1738245274.798704,0.0
1738245274.814514,0.0
1738245274.8345084,0.0
1738245274.8493626,0.0
1738245274.864251,0.0
1738245274.8841002,0.0
1738245274.8986962,0.0
1738245274.914145,0.0
1738245274.934555,0.0
1738245274.9489198,0.0
1738245274.964879,0.0
1738245274.9846222,0.0
1738245274.9993155,0.0
1738245275.014624,0.0
1738245275.0356207,0.0
1738245275.0491168,0.0
1738245275.065203,0.0
1738245275.0849905,0.0
1738245275.099095,0.0
1738245275.1147327,0.0
1738245275.1355562,0.0
1738245275.149167,0.0
1738245275.1654344,0.0
1738245275.1849,0.0
1738245275.2000194,0.0
1738245275.2144485,0.0
1738245275.235177,0.0
1738245275.2497551,0.0
1738245275.264392,0.0
1738245275.284608,0.0
1738245275.298897,0.0
1738245275.314124,0.0
1738245275.334767,0.0
1738245275.348992,0.0
1738245275.364291,0.0
1738245275.3841803,0.0
1738245275.3990653,0.0
1738245275.4138913,0.0
1738245275.433982,0.0
1738245275.4486983,0.0
1738245275.4635828,0.0
1738245275.4816232,0.0
1738245275.4978154,0.0
1738245275.5124938,0.0
1738245275.5280209,0.0
1738245275.5479033,0.0
1738245275.561111,0.0
1738245275.577736,0.0
1738245275.596618,0.0
1738245275.6120036,0.0
1738245275.6274295,0.0
1738245275.647144,0.0
1738245275.6616385,0.0
1738245275.6775506,0.0
1738245275.6966736,0.0
1738245275.711932,0.0
1738245275.7280278,0.0
1738245275.746714,0.0
1738245275.761483,0.0
1738245275.7777734,0.0
1738245275.796908,0.0
1738245275.811561,0.0
1738245275.8277175,0.0
1738245275.8468213,0.0
1738245275.8616457,0.0
1738245275.878641,0.0
1738245275.897728,0.0
1738245275.9114704,0.0
1738245275.9278944,0.0
1738245275.9476175,0.0
1738245275.9621212,0.0
1738245275.9781249,0.0
1738245275.997168,0.0
1738245276.0124512,0.0
1738245276.0280294,0.0
1738245276.0475178,0.0
1738245276.062418,0.0
1738245276.0780668,0.0
1738245276.0974877,0.0
1738245276.112577,0.0
1738245276.1282792,0.0
1738245276.1471806,0.0
1738245276.1622438,0.0
1738245276.1779978,0.0
1738245276.1979077,0.0
1738245276.211928,0.0
1738245276.228418,0.0
1738245276.2476256,0.0
1738245276.26257,0.0
1738245276.278947,0.0
1738245276.2981603,0.0
1738245276.3119547,0.0
1738245276.3284218,0.0
1738245276.3479347,0.0
1738245276.3624277,0.0
1738245276.3784993,0.0
1738245276.397841,0.0
1738245276.412544,0.0
1738245276.4288127,0.0
1738245276.4473011,0.0
1738245276.4625783,0.0
1738245276.478056,0.0
1738245276.498081,0.0
1738245276.512079,0.0
1738245276.528919,0.0
1738245276.5479157,0.0
1738245276.5622604,0.0
1738245276.578572,0.0
1738245276.5978203,0.0
1738245276.612044,0.0
1738245276.62967,0.0
1738245276.648255,0.0
1738245276.662382,0.0
1738245276.6797807,0.0
1738245276.698307,0.0
1738245276.7130897,0.0
1738245276.7290895,0.0
1738245276.748305,0.0
1738245276.7625215,0.0
1738245276.779021,0.0
1738245276.7987647,0.0
1738245276.8131647,0.0
1738245276.829391,0.0
1738245276.848194,0.0
1738245276.863663,0.0
1738245276.88002,0.0
1738245276.8986948,0.0
1738245276.9134228,0.0
1738245276.9299994,0.0
1738245276.9488895,0.0
1738245276.9667342,0.0
1738245276.9838855,0.0
1738245276.9998364,0.0
1738245277.0145528,0.0
1738245277.0312088,0.0
1738245277.0489876,0.0
1738245277.0639064,0.0
1738245277.080648,0.0
1738245277.0992444,0.0
1738245277.1136918,0.0
1738245277.130897,0.0
